@relation risco_credito

@attribute rangeIdade {'até 25', '26 a 40', '41 a 60', 'acima de 60'}
@attribute numeroDependentes numeric
 @attribute estadoCivil {'Solteiro', 'Casado', 'Viuvo', 'Divorciado'}
@attribute escolaridade {'Ensino Médio Incompleto', 'Sem Escolaridade', 'Ensino Fundamental Completo', 'Ensino Fundamental Incompleto', 'Ensino Médio Completo', 'Superior Completo', 'Técnico', 'Superior Incompleto', 'Pós-graduação', 'Mestrado', 'Doutorado', 'Pós-doutorado'}
@attribute tempoEnderecoAnos numeric
@attribute nivelInadimplenciaEstado numeric
@attribute tipoContratoResidencia {'Locatario', 'Proprietario', 'Ocupante sem custo'}
@attribute tipoEmprego {'Estagio', 'CLT', 'Autonomo', 'PJ'}
@attribute tempoEmpregoAtual numeric
@attribute salarioLiquidoMensal numeric
@attribute montanteInvestimentos numeric
@attribute montanteBens numeric
@attribute saldo numeric
@attribute restanteMensal numeric
@attribute estaInadimplente {0,1}
@attribute valorParcelaAtiva numeric
@attribute mesesAtrasado numeric
@attribute valorCreditoRestanteTotal numeric
@attribute score numeric

@data'acima de 60',1,'Solteiro','Sem Escolaridade',59,43,'Locatario','CLT',0,1518.00,0.00,49610.00,20424.00,0.00,0,0.00,0,0.00,601
'acima de 60',0,'Viuvo','Ensino Fundamental Incompleto',30,51,'Proprietario','Autonomo',59,2656.00,0.00,88232.00,18254.00,974.00,0,0.00,0,0.00,653
'41 a 60',4,'Solteiro','Sem Escolaridade',27,41,'Locatario','CLT',15,1518.00,0.00,33837.00,21775.00,-43642.00,0,0.00,0,0.00,650
'acima de 60',1,'Solteiro','Sem Escolaridade',72,43,'Proprietario','PJ',55,2527.00,77319.00,497434.00,175673.00,64376.00,1,1904.05,8,53248.57,615
'acima de 60',1,'Solteiro','Sem Escolaridade',32,49,'Locatario','CLT',79,1518.00,0.00,36359.00,17972.00,2899.00,1,9924.46,14,395797.41,550
'41 a 60',4,'Solteiro','Sem Escolaridade',9,49,'Locatario','CLT',32,9291.00,113380.00,115411.00,39835.00,-453058.00,0,0.00,0,0.00,772
'41 a 60',2,'Solteiro','Sem Escolaridade',41,43,'Locatario','CLT',26,2856.00,0.00,71873.00,52278.00,17927.00,0,1546.09,0,55651.16,681
'41 a 60',1,'Solteiro','Ensino Médio Completo',7,59,'Proprietario','CLT',11,1518.00,0.00,60430.00,25991.00,6640.00,1,3446.48,2,54473.33,664
'acima de 60',0,'Viuvo','Superior Incompleto',92,44,'Locatario','Autonomo',54,2877.00,0.00,48008.00,40058.00,0.00,1,292.93,14,11159.57,575
'26 a 40',3,'Solteiro','Sem Escolaridade',24,50,'Locatario','CLT',8,2389.00,0.00,72668.00,46115.00,6823.00,1,529.49,14,10735.68,684
'acima de 60',1,'Solteiro','Sem Escolaridade',34,41,'Locatario','CLT',29,1518.00,0.00,94380.00,24112.00,-13393.00,0,0.00,0,0.00,574
'26 a 40',2,'Solteiro','Sem Escolaridade',23,61,'Locatario','CLT',12,1518.00,0.00,93989.00,73224.00,7939.00,0,0.00,0,0.00,675
'acima de 60',3,'Viuvo','Superior Completo',67,59,'Locatario','CLT',19,2415.00,0.00,85419.00,61883.00,0.00,1,974.48,42,46829.90,322
'41 a 60',0,'Solteiro','Sem Escolaridade',58,46,'Locatario','CLT',40,2790.00,0.00,18476.00,3350.00,2052.00,1,9117.71,40,112603.44,382
'41 a 60',1,'Solteiro','Superior Incompleto',44,61,'Proprietario','Autonomo',34,1826.00,0.00,30330.00,7528.00,865.00,0,0.00,0,0.00,546
'41 a 60',1,'Casado','Ensino Médio Incompleto',58,56,'Locatario','Autonomo',20,1518.00,0.00,26932.00,12256.00,-39036.00,0,0.00,0,0.00,394
'41 a 60',1,'Solteiro','Sem Escolaridade',30,43,'Locatario','CLT',37,11332.00,503628.00,293290.00,58565.00,0.00,0,6969.08,0,680818.18,556
'41 a 60',0,'Solteiro','Ensino Médio Completo',12,43,'Locatario','PJ',0,1795.00,0.00,73955.00,2656.00,-24350.00,0,0.00,0,0.00,511
'acima de 60',0,'Solteiro','Sem Escolaridade',87,44,'Locatario','CLT',27,3365.00,0.00,64229.00,54210.00,21049.00,1,16810.01,12,403042.85,566
'até 25',0,'Casado','Pós-graduação',19,44,'Proprietario','CLT',1,1518.00,0.00,32622.00,7500.00,-15671.00,1,917.51,43,66911.38,406
'acima de 60',1,'Solteiro','Sem Escolaridade',68,44,'Locatario','CLT',75,1518.00,0.00,83743.00,81129.00,-48329.00,0,32445.55,0,69645.65,436
'41 a 60',4,'Solteiro','Sem Escolaridade',5,44,'Locatario','CLT',1,2186.00,38782.00,588901.00,61111.00,699.00,1,199.15,95,11706.76,348
'acima de 60',1,'Solteiro','Sem Escolaridade',62,47,'Locatario','CLT',48,1824.00,0.00,41461.00,37977.00,0.00,0,0.00,0,0.00,501
'acima de 60',0,'Casado','Doutorado',92,42,'Proprietario','CLT',23,1518.00,0.00,75132.00,27270.00,-10890.00,0,0.00,0,0.00,773
'acima de 60',0,'Solteiro','Sem Escolaridade',54,43,'Locatario','CLT',27,3201.00,0.00,41774.00,18334.00,0.00,0,964.31,0,27389.66,510
'26 a 40',3,'Solteiro','Sem Escolaridade',27,46,'Locatario','CLT',6,2051.00,0.00,55784.00,5479.00,-40975.00,1,17885.76,70,85000.50,371
'41 a 60',4,'Viuvo','Mestrado',24,54,'Locatario','CLT',31,2478.00,0.00,76701.00,10224.00,0.00,0,0.00,0,0.00,557
'acima de 60',1,'Solteiro','Sem Escolaridade',31,36,'Locatario','CLT',11,2284.00,0.00,29710.00,28603.00,0.00,1,821.66,36,9176.35,372
'26 a 40',2,'Solteiro','Ensino Médio Completo',26,44,'Proprietario','PJ',9,2014.00,0.00,95565.00,51447.00,-2026.00,0,10315.01,0,746584.85,529
'até 25',1,'Solteiro','Sem Escolaridade',10,43,'Locatario','CLT',1,13728.00,262127.00,732675.00,60197.00,0.00,0,0.00,0,0.00,634
'acima de 60',1,'Solteiro','Sem Escolaridade',43,59,'Proprietario','CLT',58,1647.00,0.00,31040.00,27269.00,12092.00,0,0.00,0,0.00,613
'41 a 60',0,'Solteiro','Sem Escolaridade',41,47,'Locatario','CLT',29,2386.00,0.00,49194.00,47573.00,6498.00,1,1937.31,63,69670.00,382
'acima de 60',0,'Solteiro','Sem Escolaridade',75,61,'Locatario','CLT',12,2181.00,0.00,60247.00,30219.00,1340.00,0,0.00,0,0.00,595
'acima de 60',2,'Solteiro','Sem Escolaridade',41,61,'Locatario','CLT',44,3405.00,60304.00,760996.00,511231.00,0.00,0,0.00,0,0.00,664
'41 a 60',3,'Solteiro','Sem Escolaridade',39,59,'Locatario','CLT',26,1518.00,0.00,83507.00,18207.00,3484.00,0,96.56,0,7000.00,588
'acima de 60',1,'Solteiro','Sem Escolaridade',95,49,'Locatario','CLT',74,1733.00,0.00,94917.00,19300.00,5831.00,0,0.00,0,0.00,659
'acima de 60',2,'Solteiro','Sem Escolaridade',82,50,'Locatario','CLT',60,1518.00,0.00,81838.00,64009.00,16805.00,0,0.00,0,0.00,659
'acima de 60',1,'Casado','Ensino Fundamental Completo',46,36,'Proprietario','PJ',47,15069.00,303987.00,523669.00,430682.00,-575706.00,0,1667.14,0,49900.00,719
'26 a 40',3,'Viuvo','Ensino Fundamental Completo',29,59,'Proprietario','Autonomo',8,1620.00,0.00,38128.00,16722.00,-12060.00,0,0.00,0,0.00,464
'acima de 60',0,'Solteiro','Sem Escolaridade',60,50,'Locatario','CLT',28,1518.00,0.00,15391.00,2585.00,0.00,1,8119.51,29,180760.67,304
'acima de 60',0,'Casado','Superior Incompleto',62,41,'Proprietario','CLT',0,1934.00,0.00,64903.00,35206.00,-22597.00,0,0.00,0,0.00,712
'26 a 40',0,'Solteiro','Sem Escolaridade',38,36,'Locatario','CLT',20,1613.00,0.00,58624.00,54388.00,0.00,1,6278.02,35,344269.46,519
'acima de 60',4,'Viuvo','Ensino Médio Completo',79,59,'Proprietario','Autonomo',20,2329.00,0.00,50265.00,44843.00,0.00,0,0.00,0,0.00,504
'41 a 60',0,'Viuvo','Sem Escolaridade',14,41,'Locatario','CLT',25,1518.00,0.00,23652.00,18370.00,5232.00,0,0.00,0,0.00,571
'até 25',3,'Solteiro','Doutorado',17,43,'Proprietario','Autonomo',0,16179.00,155479.00,346624.00,99495.00,-528790.00,1,2711.42,36,98120.44,558
'41 a 60',2,'Solteiro','Sem Escolaridade',60,41,'Locatario','CLT',41,2378.00,0.00,126319.00,58203.00,14116.00,1,196.43,21,6480.44,537
'acima de 60',1,'Solteiro','Sem Escolaridade',8,62,'Locatario','CLT',45,8354.00,73566.00,495564.00,5897.00,-70604.00,1,4179.31,34,108977.55,436
'acima de 60',2,'Solteiro','Sem Escolaridade',36,54,'Locatario','CLT',14,2273.00,0.00,40743.00,40018.00,4998.00,0,0.00,0,0.00,556
'acima de 60',3,'Viuvo','Técnico',75,54,'Proprietario','PJ',34,2477.00,0.00,86857.00,19308.00,-45347.00,0,0.00,0,0.00,566
'26 a 40',2,'Solteiro','Sem Escolaridade',5,37,'Locatario','CLT',19,1518.00,0.00,49767.00,40232.00,-17213.00,0,0.00,0,0.00,621
'acima de 60',4,'Casado','Superior Incompleto',26,49,'Locatario','Autonomo',35,1912.00,0.00,99431.00,44962.00,7519.00,0,4372.22,0,86800.00,547
'acima de 60',2,'Solteiro','Sem Escolaridade',32,43,'Locatario','CLT',20,1628.00,0.00,27556.00,26401.00,5492.00,0,0.00,0,0.00,591
'41 a 60',1,'Solteiro','Sem Escolaridade',23,49,'Locatario','CLT',1,1704.00,0.00,48319.00,32775.00,0.00,0,4608.71,0,122537.76,252
'até 25',1,'Solteiro','Pós-graduação',22,61,'Proprietario','Autonomo',3,12671.00,326205.00,366668.00,308012.00,0.00,0,0.00,0,0.00,752
'26 a 40',3,'Viuvo','Ensino Fundamental Incompleto',35,42,'Proprietario','CLT',16,2669.00,440016.00,481969.00,288714.00,69333.00,1,6495.55,77,566848.26,517
